UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Rochdale,211699,87552,89966,90015,166916,152742,90753,164801,202809,103642,108057,209552,2147,43104,28116,42914,53601,27009,3807,26179.27133652,26307.5,168612,4262,3569,1105,22265,4342,948,2970,2770,856,128186,31188,40014,12311,188102,1852,1447,2714,17584,5423,43528,70667,19754,1245,2371,4618,11739,10879,28183,19433,25336,7931,25,14575,2463,13761,30151,32888,13108,107,54489,20247,11556,1260,2205,44359,80139.29883522,94233,70158,31303,12453,3552,23260,47906,57994,19597,32371,27460,36830,23262,3052,11612,66006,10083,20101,55604,12116,9047,4135,20853,8025,7838,10446,4577,1614,3521,10884,28360,21603,14743,12460,25801,26448,14757,119,41,10334,301,765,7630,16713,5530,4413,2162,2830,1385,3881,4385,4898,8711,12990,3665,E08000005,23414.21,15,34.415,14,0.2985,17,0.4758,17,32295.7,19
Rotherham,257280,108293,112018,112068,208018,187959,114871,206080,247864,126247,131033,255334,1946,47619,30649,49874,69651,39343,5499,34789.13948656,35701.5,237214,3544,2551,961,7609,109,592,1280,2112,1308,171068,11399,57783,17030,244133,633,1111,2983,8420,2712,44826,100177,26009,1275,2134,3814,13458,14387,30902,30706,29659,7908,9,17017,3775,23643,54727,21806,11880,12,70919,23289,12262,1823,1511,56588,104635.55023573,111232,87237,39278,15114,4419,31001,62076,76397,24001,36165,28756,45191,34346,3767,12284,88121,10699,28830,68860,13994,9821,4394,31117,7405,8864,10614,4060,1873,3917,13093,35388,27105,16900,18187,36933,33793,15124,365,422,15383,715,1212,10978,20101,6194,5212,2682,3485,1009,4264,5883,6317,10818,15291,4540,E08000018,21030.76,40,29.55,35,0.21560000000000001,30,0.3571,34,32180.33,23
Rutland,37369,15002,16069,16072,30683,27052,18037,28164,36309,18915,18454,34252,3117,7101,3647,6686,10236,6748,1101,5038.14513372,5269.5,35458,843,389,113,38,7,125,82,251,63,25481,540,8728,2620,34972,183,585,261,1368,49,4608,16144,2780,180,298,532,1640,1982,4111,5307,3777,714,1,1806,1070,7466,4382,2894,1215,115,10716,1685,2333,268,72,5788,9860.93257783,18828,12718,4532,1008,283,3799,5453,10216,3834,10096,1859,6152,6991,1651,588,12085,3713,3847,10314,3348,643,606,4579,1568,878,463,806,69,245,4046,7736,3669,3575,2072,3546,2963,945,413,18,2003,45,131,1158,2812,538,949,518,387,216,1198,693,2177,2386,1585,810,E06000017,6306.8,149,8.381,149,0,130,0,149,15263.23,150
Salford,233933,103556,108607,109059,188780,173117,106904,183248,223912,116782,117151,228346,5587,44327,40526,48801,54062,28687,4519,30563.12156699,29988.5,200327,10535,4616,2553,1843,605,2547,1881,6541,2485,150111,17276,52105,14441,206471,2485,3036,5817,16124,3336,57874,66649,24047,2334,2479,4883,13037,11945,37751,21850,26453,9935,636,16866,5503,9327,37458,30761,31410,103,52634,29819,19420,1683,1766,48417,95764.98471831,107689,75685,32849,13741,3969,23402,51175,61687,23870,42103,38178,43884,21494,3818,17471,67946,17669,21676,67966,11372,9041,8075,20950,10093,7021,11915,5008,1587,3650,13998,33312,26812,12907,13956,29260,26777,13952,107,55,8110,682,957,7735,19032,5544,7051,3645,4743,1719,6456,6643,5490,9334,14597,5004,E08000006,23233.56,17,34.21,15,0.3,16,0.472,19,32355.62,15
Sandwell,308063,121498,127072,127196,241829,219508,128630,239729,294251,151592,156471,305928,2135,62222,43878,64814,70114,40656,6185,35844.2962924,35346,204867,10604,10199,31400,13952,6588,839,6479,18357,4778,170075,61538,57716,18734,258993,1482,1784,8075,37729,12541,65208,104101,25581,1858,4799,6109,14614,17459,35935,24923,35452,10915,92,25096,5698,14273,55270,33357,24225,71,69836,33439,15674,2549,3630,64403,109415.04649692,129182,107081,48087,18171,5542,33530,85040,76717,25245,37151,41197,51922,28379,2846,24371,87116,14297,29779,81339,13220,16049,6266,28582,11728,12859,12679,7007,3406,6937,11577,33462,28683,15824,19329,47042,43238,25147,132,30,18741,1201,1414,9761,23348,8499,6475,2417,4009,1803,4564,6795,6076,11140,16806,5419,E08000028,25276.49,8,34.884,11,0.1989,36,0.5349,9,31705.52,40
Sefton,273790,117930,124008,124605,226435,198197,121919,222413,265010,131237,142553,269697,4093,46915,30830,47606,77660,49485,7526,40104.17862444,41609.5,261941,4800,2820,666,127,308,965,653,796,714,210184,3377,43196,17033,262234,1734,1815,2734,5273,1299,58045,101222,20940,1486,2052,4424,16184,18060,37820,28914,29528,9216,12,21656,6675,18752,56512,23915,25386,40,83801,17063,15804,1262,960,62061,115909.45503685,124069,89115,40620,15549,4437,34547,56921,78006,28214,54490,33592,50995,33343,4931,19688,80931,16369,29799,71019,16267,9708,6219,34329,8676,6705,11612,3863,1460,4015,18605,47532,36668,19447,15543,35414,25243,13376,488,132,7924,391,853,9076,20109,6255,6297,3070,5485,1773,6217,5256,11196,12486,18882,6029,E08000014,18986.7,63,27.035,45,0.2011,35,0.2977,47,32363.19,14
Sheffield,552698,229928,236811,237387,452014,411004,244318,438452,532164,272661,280037,539064,13634,106479,94939,110267,124978,73925,11773,70393.72528054,70011,449728,12816,13289,5868,21990,3326,7398,5803,20082,12398,290299,52299,172516,37584,488176,1879,5311,6658,50674,9232,134683,180424,52171,3876,5974,8269,25830,27225,73315,57344,58484,16760,5666,35119,7459,33901,86386,64830,52207,63,135008,56917,35760,2243,5140,103715,195353.58163473,258250,184343,75733,26703,7669,57373,109841,133855,71594,116007,75968,97721,56239,9030,48339,150443,36506,56868,140933,30021,19626,22791,52941,44212,16682,18418,8512,4013,7641,40432,79142,52605,32503,29290,67487,53885,30679,420,175,22721,688,1684,18544,37244,10214,14624,7927,8706,3476,13167,9932,13309,29847,39820,11820,E08000019,18742.72,66,27.06,44,0.2377,24,0.3401,37,32028.49,27
Shropshire,306129,129674,135572,135645,252979,223892,150748,245878,296805,151606,154523,298183,7946,52564,32238,55358,87038,54892,8407,42342.5878037,44001,293457,6417,2168,752,216,208,1020,893,580,418,210268,3655,69725,22481,291742,1200,2819,3188,7180,1270,49919,126482,28403,1604,2248,3862,16100,17260,37540,40603,31978,6710,49,19504,5971,53529,45289,22807,12957,1063,90518,17448,19421,2287,1033,56826,99838.86436438,142309,106909,41475,11979,3457,34260,56943,85041,30749,69558,20483,54671,54520,12532,5547,107226,25443,34760,83106,28535,7350,5232,37833,8764,7529,7237,3546,856,2837,24307,55189,31270,33157,18850,38595,27800,10112,5807,245,15942,547,1419,12527,24248,5864,8283,4021,2946,2027,7832,5932,10279,15144,20642,7043,E06000051,14862.2,100,17.153,110,0.0104,113,0.0426,129,25796.55,129
Slough,140205,50766,51781,51980,106645,100458,67300,106152,132384,70120,70085,139697,508,30385,22925,35902,28175,11142,1682,13067.85703531,12710,50008,14045,4758,21922,24869,549,797,7560,12115,3582,57726,57499,17024,7956,85553,1364,3132,9864,40292,8263,30202,47160,8996,801,3968,3092,6687,5246,14447,7962,16325,4503,105,11927,1214,5190,14478,14669,17598,45,27441,10476,12348,501,3919,18784,29175.10023544,67156,50464,16288,4906,1391,11626,21434,32300,10790,27560,11885,22404,16477,2060,10966,45671,8603,11886,43610,8926,5440,3957,7517,5813,6555,3388,3366,1014,2121,8669,18355,13689,9169,8050,16536,12819,9824,101,52,5437,358,469,4082,11088,8469,4667,4747,1751,556,3336,5393,2434,4774,6909,2677,E06000039,19788.26,53,22.965,73,0,130,0.1122,105,27534.97,113
Solihull,206674,86056,88229,88250,167493,148360,97941,165913,199863,100352,106322,205087,1587,38072,22029,38418,56848,34095,5501,27628.71549232,28470.5,181183,3061,4404,7098,3413,633,906,1511,3239,1226,135572,13787,44187,13128,191288,2645,1385,1051,10305,906,39325,84394,14856,848,1592,3227,9812,11859,25102,22511,24008,6136,16,14419,2194,24984,33110,13928,16089,139,64086,12834,8502,634,735,36927,65560.87274334,98197,70683,27056,8241,2497,24113,38035,55438,19597,47783,16992,33983,35081,5208,13754,71185,7794,21701,59212,13673,6304,4218,24019,6496,5506,4949,2282,983,2497,21439,37387,25976,14116,11287,23094,15836,7879,200,32,9837,1435,795,7621,15257,4435,4749,4261,4997,1520,6969,5230,4764,10211,11448,4180,E08000029,12510.31,120,17.37,108,0.1194,54,0.1708,79,31136.96,55
Somerset,529972,226989,239720,239965,435382,381185,256755,424511,512666,258396,271576,517124,12848,93334,54543,92738,150210,95051,16609,77757.98141944,80931.5,503815,15440,4241,1069,203,442,1247,1912,1013,590,339211,7386,141071,42304,498211,1989,6340,8171,15261,2792,82437,217869,49839,2673,4256,7823,29271,30343,67537,71739,55826,12709,67,31820,12976,77435,72850,56775,31072,1833,159396,30730,33258,3605,2201,99664,183658.05174654,241500,187101,74426,21227,5718,58382,97590,154032,52538,111538,36092,98217,92680,20104,7502,181148,48001,60626,141278,46782,11350,9732,64972,13422,13935,13317,5771,1255,4092,39564,91664,54534,54128,34658,70806,51494,15901,6420,646,29124,1681,2213,21362,45068,9446,15281,6227,4758,3127,13495,10538,16472,25159,33483,12255,E10000027,15680.96,92,18.553,100,0.0275,100,0.0847,112,28301.72,107
South Gloucestershire,262767,107538,109984,110024,212837,192468,136531,208307,253267,130424,132343,258207,4560,49382,31064,53974,69330,38875,5534,33561.05384057,34504,242834,6740,3667,2699,698,238,1312,1493,2218,868,156504,6221,80607,19435,245470,1050,2542,3440,10265,1287,45114,107588,23600,1313,2268,3552,12759,12113,28554,31333,30951,6875,243,16457,2486,29001,37523,30140,12636,724,81083,10633,14600,1222,916,40914,72047.00713439,129141,91675,30940,8556,2455,27639,39618,78586,29111,56805,14044,45398,48096,6479,8830,104112,17110,31453,82489,17147,5354,6755,27390,7885,6244,4872,2879,565,1884,24636,45697,34329,18401,16325,30909,21726,6429,759,225,13336,912,983,11797,22296,6642,5591,5819,8753,1632,7876,5972,10383,11461,16784,5310,E06000025,9595.66,139,11.66,141,0,130,0.0126,141,22617.29,141
South Tyneside,148127,67167,69693,69707,122200,108981,64622,120807,143183,71560,76567,146729,1398,25908,18348,27436,42031,23266,3587,22139.13974883,22653,141126,973,1325,643,434,1534,235,465,420,972,104090,4174,31247,8616,143163,190,728,423,3623,558,32293,51826,12352,719,1223,2927,9741,9726,23459,15413,17252,6428,86,10957,2540,5598,28697,20818,14568,26,38630,21204,6758,575,614,34481,69166.20070008,63345,48861,23700,9394,2827,16740,34189,45078,14679,23514,25830,27639,13698,1567,13499,40785,8771,15480,40838,5948,7145,3234,17355,4611,4696,7234,2440,1240,2868,7249,20574,16630,7271,10812,21768,20700,9523,65,516,7406,520,438,5328,9634,3613,3385,1620,1763,882,2542,3009,5705,5738,9616,2842,E08000023,22573.29,22,31.509,23,0.2451,21,0.4508,21,31513.31,47
Southampton,236882,98254,100596,101272,195534,180201,112608,187146,227281,119453,117429,228459,8423,44904,51169,48888,49298,26104,4672,28338.82843941,27225.5,185726,17802,5678,6742,3019,1401,3449,5281,5067,2717,122018,18775,79379,16710,195231,1357,4571,11370,24353,5304,62358,68845,23772,1942,2796,4066,13118,10249,33241,21965,23356,6918,2955,16737,3018,13336,26029,21324,40516,67,49886,22867,24449,1052,2726,38399,72428.66010248,112653,82880,29278,9223,2848,20363,40991,59652,33882,48145,28996,43938,25320,3737,14317,69928,24626,22856,68082,12964,7631,11660,17775,20857,7449,7330,3597,1117,2958,15982,32826,22441,14213,13628,29170,24665,10460,240,84,9556,735,739,8900,19642,7505,7242,3370,4702,1303,6375,5846,4677,11639,15091,4962,E06000045,20786.7,44,26.876,47,0.1284,50,0.2836,55,31172.89,54
Southend-on-Sea,173658,74678,78603,79126,140621,125007,81339,138473,166899,85037,88621,171489,2169,31591,21114,36929,43728,25732,5066,23421.3987316,23647.5,152632,6391,3651,1810,1059,933,1084,1554,3647,897,96755,8478,54880,13545,156536,1301,2232,3190,10399,1621,34655,59294,17949,1456,1693,3304,10879,9243,24386,18427,19461,5057,64,12340,4448,12512,24457,14479,27644,34,48972,8597,16439,670,1324,32116,58739.32714281,78341,60929,24420,7778,2190,17682,34621,51855,16055,30691,20383,33268,21027,3742,17873,45591,14133,17949,47972,12801,6209,3393,17655,4769,6298,5311,2650,773,2607,12761,29988,23282,14617,9602,20147,13997,8250,130,26,5542,203,499,6558,11469,3957,3860,2590,9046,1321,4695,3925,4777,8157,10391,4193,E06000033,16811.88,83,22.375,76,0.0841,67,0.2216,68,31094.85,56
Southwark,288283,120422,123265,124167,234901,224551,147388,229266,275241,142618,145665,282560,5723,50802,62721,80522,56347,19445,2884,30390.98863082,28924,120756,35593,17778,5819,1623,3912,8074,7764,77511,9453,151462,35112,77098,24611,174616,4896,15385,9247,84139,8394,97552,58102,28226,6511,7666,8090,14941,8178,40307,19485,28393,12016,1747,30490,3745,2659,7912,19705,93721,170,37783,52644,28493,1502,8543,38980,71559.40078844,154204,90004,29935,10544,3596,20725,38384,48745,24779,101172,70312,41622,8488,6397,89087,21212,30692,22225,94675,22386,13484,11089,12940,22256,8438,9653,7405,2742,5447,32749,53510,23256,16206,12347,24667,20443,19376,75,164,2771,262,370,5988,14602,5561,12005,10646,12717,2293,18863,10712,7481,13692,18357,10829,E09000028,21247.36,35,25.811,55,0.0301,97,0.2305,67,28758.95,102
St. Helens,175308,75736,79232,79278,143372,129584,78580,142062,169044,86138,89170,173958,1350,31440,21023,34137,48037,27906,3494,24678.6032611,25309,170233,1644,1179,504,133,122,512,493,248,240,138172,1835,25653,9648,170581,659,680,898,2490,414,35052,66136,15850,874,1070,2991,9668,10421,22694,19513,20576,6456,17,12936,3542,11460,36729,23951,7107,31,51379,15597,7736,1024,702,40262,77081.19776902,78620,55983,26198,11364,3143,22591,39950,50703,17408,29924,20212,32283,23241,2259,8039,60230,8052,18169,49968,8021,6640,3323,22144,5294,4971,8638,2416,1190,2752,9867,26711,19082,9625,12471,24654,23366,9162,202,70,8324,454,1087,6532,13761,4655,3522,1933,1977,1151,3310,3886,4835,7214,12267,3400,E08000013,21635.55,32,31.518,22,0.2437,22,0.4011,25,32345.57,16
Staffordshire,848489,355263,367283,367534,698423,629358,412473,683197,821091,419918,428571,832952,15537,147753,97940,164651,236446,138067,18787,115199.28000163,119105.5,797662,13953,9604,6452,7023,651,2726,3804,4810,1804,578352,21775,193662,54700,810101,3174,5418,8316,21480,4151,143914,349969,79457,4361,6148,12055,41479,45814,98491,106709,94044,21016,777,55242,12271,122067,139170,63797,40530,1970,258673,52151,40090,4349,3158,162647,294083.9131961,384565,298517,117417,37141,10849,98832,172976,238926,88464,167352,63893,146504,144866,21352,22532,321734,46855,92188,248271,57779,22661,18283,104794,28007,22191,23657,11527,2840,8821,64035,141757,91201,66787,56667,107643,95188,29806,4732,626,53704,2627,3590,35846,72388,21677,19909,10204,11550,4903,19394,17694,23581,39400,51353,19295,E10000028,13616.36,115,16.567,115,0.0208,105,0.0907,108,27841.87,111
Stockport,283275,121979,125810,125975,229822,205310,137130,227535,272921,138400,144875,280915,2360,50976,31080,57069,77315,44277,6750,39585.90467381,40507.5,255982,4837,5104,2786,6673,705,1722,1876,1958,1632,179055,14584,71126,18510,263914,2747,2223,1751,12640,1555,55018,108137,24492,1639,2093,4638,15591,15927,38535,31196,33180,9050,12,19056,3996,26832,51895,27074,20099,75,90303,16620,13852,1204,1075,52259,99135.54213739,135500,94251,37601,12505,3418,31982,47430,77023,27896,68506,26781,52372,42826,7234,18781,96434,14681,29946,83049,19664,8002,5635,31395,8674,7139,8527,3279,954,3165,27473,52316,36309,20900,15324,31158,22030,10349,163,91,11700,918,681,10030,22003,7254,5910,5419,6758,2074,10588,6940,6791,14538,19039,6233,E08000007,15400.65,96,20.826,86,0.0895,64,0.1745,78,31572.38,45
Stockton-on-Tees,191610,79159,82237,82308,154503,140654,87122,150859,184166,94082,97528,187959,3651,36598,25253,37535,51300,26470,3481,24541.41242398,25065.5,179501,1798,1997,1488,3072,132,866,1074,1133,549,130723,6307,42910,11670,182769,465,1187,831,6358,812,36116,71075,18307,1167,1436,3136,9964,9658,21986,21064,23098,6810,204,12807,3149,19943,33720,19365,9212,68,54480,13625,10387,667,740,36408,66572.93853147,88811,64282,26385,9296,2836,19924,36728,55599,20952,35250,20524,32728,25907,2847,7025,66999,10251,22070,52927,8941,8075,4246,20767,7277,5911,6861,3579,1464,3345,11812,29949,20683,9799,13690,24971,21638,10721,221,617,8672,1085,651,7200,14458,4022,4379,2086,2713,1125,4854,3900,5958,8721,12928,3532,E06000004,17541.72,76,25.79,56,0.2083,32,0.3024,46,32301.09,18
Stoke-on-Trent,249008,107575,111865,111977,200642,182808,108109,197728,238572,123995,125013,246075,2933,47387,37245,49752,61617,34103,4715,33172.882872,33217,215858,4854,4491,2329,10429,1097,1224,3363,3741,1622,151624,18705,62737,15942,228294,571,1735,3080,15328,3314,51934,84264,25081,1608,2351,4497,14307,13686,35357,25809,28731,9048,806,16872,4402,15814,49966,33094,13026,77,64347,25999,15440,1789,1864,56501,108071.21271497999,104510,86311,38179,15356,4652,27385,67773,67766,23961,31041,33225,47582,26768,2691,10794,81173,13451,24732,67097,11440,9715,6759,26108,10260,8553,13223,4921,1589,3851,9336,27618,22585,14424,17257,35777,42617,14477,140,173,14704,1020,696,8619,21274,7059,5852,2238,2890,1087,3164,5262,4282,8300,15734,5615,E06000021,23797.05,13,34.504,13,0.3208,11,0.5073,11,32056.84,26
Suffolk,728163,310745,327808,328165,595261,525463,351760,582158,702699,359787,368376,714113,14050,127438,83195,136963,196032,124311,20728,103897.32112309,107673.5,665202,27993,12472,3999,697,2253,2159,4023,6854,2511,443632,14423,215921,54187,668261,3081,9657,11194,35970,5020,116571,296671,70282,4507,6063,11011,37945,39108,90013,97322,79721,18309,72,43617,17420,114335,99997,72301,39805,1727,211061,46101,48488,5095,3002,130689,239891.68451658,334121,260145,99088,27262,7547,77745,144532,209084,69007,139888,55661,135039,120045,21441,20354,251840,58125,82248,204527,54206,18873,13428,86545,17006,22120,16484,10026,2335,7184,53575,123756,80924,62204,47745,97363,75778,24040,6463,712,34598,3048,2505,29399,56461,21121,18823,11211,12500,4400,18314,15853,22075,30464,42801,21012,E10000029,14990.69,99,18.46,101,0.0499,85,0.1107,106,29444.04,83
Sunderland,275506,119758,123367,123528,227314,205552,121511,223722,266379,133953,141553,271884,3622,48520,36654,52854,76552,41631,5162,38736.14516749,39455.5,261817,2465,1778,1736,669,2075,1536,1320,1273,837,193642,6208,60358,15298,264201,489,1436,1347,8033,1229,59521,99764,24850,1405,1831,4554,15337,16460,38096,29251,31047,9907,677,20687,3770,14006,53627,38523,17283,89,71918,32399,14552,889,1356,64552,125807.60657511,117365,90557,43951,18155,5478,32531,66036,83594,27289,41337,42094,49564,28100,3071,19888,84042,14510,29186,75899,11477,12016,6889,32215,10778,8666,14084,4342,2349,4678,12418,36933,31773,13942,18952,39839,39412,16683,132,441,14065,2138,983,9345,19613,6325,6813,2825,4684,2028,3841,6028,9471,10845,16641,5293,E08000024,21993.93,27,30.586,28,0.227,28,0.396,27,31950.32,28
Surrey,1132390,455791,473154,473760,913899,817272,574526,889511,1089812,554665,577725,1105800,26590,206548,123673,240551,301311,164423,30043,145543.69071116,148772.5,958685,64997,23554,20232,10818,3400,9461,19587,12430,9226,711110,56390,280814,84076,971457,9970,26779,17046,107138,7434,194203,465143,91734,6584,11449,15476,51283,53639,124431,127322,129046,21227,1971,73021,17969,155969,137758,74156,101898,3979,336847,52086,61409,5449,6141,153354,268669.3956578,593689,380019,119554,30599,8529,108433,145463,278187,112412,331040,59865,184249,211677,44255,98410,365947,65914,106283,344923,102486,22772,25327,105585,40897,38200,16744,14055,2479,8470,144486,239538,135980,94419,50938,93855,58538,31206,1814,1790,30036,2479,2974,42866,79638,33445,24460,40213,35090,9698,58197,31643,30663,56001,60665,32854,E10000030,7935.96,147,10.087,145,0,130,0.0082,143,21921.61,142
Sutton,190146,78174,79696,79942,152158,138710,97658,150716,182380,92443,97703,188695,1451,35910,23842,44453,47613,23233,4000,23672.29924171,23739.5,138073,11376,7134,6454,2595,1183,2240,9563,9120,2408,111086,18739,46817,13504,152390,2339,3636,4372,27409,2527,39975,69911,16125,1081,2162,3287,9557,8618,23749,17219,23041,5559,25,14140,1768,8530,22450,20573,28371,18,53763,11422,12429,560,1814,27189,49428.55230764,92668,67563,22127,6072,1716,18298,28330,50385,18023,45775,18303,36110,23761,4309,32827,50166,10356,18502,60111,15819,5429,4134,15461,6454,6238,3904,2658,759,2155,17378,36048,26382,15876,9569,17885,11436,7295,87,134,3539,334,503,9572,14020,5214,3586,5231,5825,1608,7574,5368,7080,9314,13318,5351,E09000029,11415.25,130,13.987,131,0.0083,120,0.0582,120,26617.95,120
Swindon,209156,88360,91128,91227,167774,154080,109499,166482,200595,104618,104538,207858,1298,38940,27934,48338,52817,25059,3795,27219.63468964,27931.5,178880,9018,4226,6901,1292,936,954,3282,2861,806,120287,9784,64780,14305,182215,1544,3548,4245,17604,2296,38123,78798,21998,1413,2254,3715,11203,8978,26143,23626,24987,5816,38,13566,2867,19273,26622,29103,16012,217,59020,14382,14169,789,1448,32302,61091.97530614,100931,73591,25056,7556,2022,19480,34424,65952,19526,38097,19060,39031,30269,4353,11401,77463,16282,22137,71912,12061,6518,4411,17868,4895,6301,5271,2706,797,2487,16760,33812,24777,12396,14185,27714,21652,7415,272,79,12360,961,1250,8117,19787,7119,5344,5357,8231,1029,5848,6379,5001,8007,9872,4486,E06000030,14382.53,106,18.622,98,0.0909,62,0.1566,87,30560.08,65
Tameside,219324,94953,99146,99235,176616,161459,101892,175048,210429,107650,111674,217736,1588,41455,28064,44882,58267,30021,4180,29138.84654141,29524.5,195728,3701,3159,3668,4910,4296,951,728,1784,399,140322,14281,51674,13047,204054,1382,1627,2128,10133,2841,44846,74468,23143,1356,1713,4222,13326,11974,31037,22214,26186,8354,10,15506,4282,11204,37173,35438,15371,49,60867,20438,12573,1075,1440,45931,87013.24346994,96404,73918,33009,12492,3501,24059,49547,66833,21371,30994,28132,41793,25028,3402,15661,70877,11952,21377,65546,12022,8052,4019,23682,6865,6443,9970,3483,1271,3272,11473,29724,26306,14943,15370,30880,26334,10974,110,44,13449,830,863,8690,18057,5431,4629,2431,4164,1711,5074,4870,5932,8489,12669,4449,E08000008,22774.3,20,31.374,24,0.2057,33,0.4155,24,31859.28,33
Telford and Wrekin,166641,66608,68714,68730,132440,122279,78372,130362,159787,82549,84092,164440,2201,33434,21751,34329,43031,21409,2680,20514.25926695,20859.5,149825,4590,2983,3076,2243,162,647,863,1779,473,102892,7177,45599,10973,154504,630,1771,3216,6520,1715,30019,61224,17395,1111,1284,2743,9076,7510,16793,18049,20068,5394,182,11516,2122,20945,25001,15534,6973,277,42709,13106,9979,814,916,30995,56002.58811289,76439,57198,22609,8023,2372,17944,32612,48199,17199,27713,13748,28700,24160,3139,5170,61707,8356,16530,50567,8588,5806,3456,16798,6213,5923,6001,2397,833,2359,10577,24460,16787,9737,11460,22863,19493,7633,713,82,13240,408,823,4970,13099,3109,3768,3368,2091,977,2767,3568,6444,7292,8535,3118,E06000020,18583.53,71,24.988,65,0.1667,39,0.2605,60,31750.35,36
Thurrock,157705,62353,63869,63889,123407,114124,77420,122795,150466,77823,79882,157072,633,31807,20966,36566,38114,17395,2626,18516.33012268,18802.5,128695,6734,3099,2234,534,682,828,1649,12323,927,99891,6858,41061,9895,138829,987,1391,4146,12352,1721,29807,56518,16161,1057,1803,2930,7662,6857,16368,14650,19622,4744,44,11669,1536,7609,21022,20610,14466,182,41580,11503,8772,498,1560,24550,43366.25169744,76012,54788,19389,5888,1628,14606,32643,48253,13483,21519,12527,27384,22442,2258,16760,52312,6090,16370,48620,10161,6190,3123,13377,3987,5903,4037,2356,946,2553,8042,22505,18952,10944,10873,20177,17754,7217,136,63,5677,506,922,7507,15458,7686,3256,2189,4873,999,3676,4077,3825,6122,7516,2932,E06000034,17375.69,77,20.928,85,0.0408,89,0.1214,100,28948.08,97
Torbay,130959,59010,63966,64370,109290,94000,56912,106336,126938,63110,67849,127908,3051,21351,13479,22055,36943,25783,5071,21007.67764925,21978,124819,2880,1420,403,79,99,261,511,251,236,82924,1890,36035,10110,123877,634,1390,1546,3512,416,22728,48912,12183,938,1153,2333,9590,8499,20192,16982,13192,4190,17,8627,5360,14088,15012,15143,19909,218,39978,4762,13696,574,582,31451,60704.48158251,54614,45098,21355,7625,2267,16107,28215,40397,12905,22564,15063,26678,17269,3494,3472,39563,10383,14782,29537,10747,4275,2454,18416,3032,3624,5454,1679,443,1670,7037,21267,13949,15045,8586,18696,13748,5609,331,61,3764,261,405,5116,10135,2216,5837,964,1133,954,2390,2257,3034,5024,9874,3156,E06000027,21088.82,38,28.104,37,0.1573,44,0.2912,51,31937.07,29
Tower Hamlets,254096,101257,105379,106136,203953,196552,120873,200214,242368,130906,123190,250343,3753,46575,70975,70245,35200,13780,1790,23419.46627215,21793,83094,31725,10360,6787,2442,81377,8109,5786,18629,5787,68808,97551,48648,39089,144662,2862,14607,7828,84137,19307,89494,56616,20651,3986,6964,5492,9732,7279,35047,16204,22328,7327,1974,25704,4879,1252,2626,10987,91163,108,26935,40106,32964,1252,10576,34303,57463.28429882,128468,83209,27062,11228,4129,19356,40719,38483,20643,83675,63797,32329,5131,4447,70199,15465,30762,18852,78031,16336,13259,10755,9262,19407,13809,8893,7948,3442,4986,28495,43315,18977,11828,10051,19350,14630,27986,35,112,2711,203,267,3731,12937,4468,11826,9784,18096,2044,16285,5882,4529,10961,9809,7193,E09000030,22507.05,23,27.913,39,0.0139,111,0.3057,44,29011.42,94
