Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Wokingham,E06000041,Upper tier local authority,2020-04-11,3,179
Wolverhampton,E08000031,Upper tier local authority,2020-04-11,10,460
Worcestershire,E10000034,Upper tier local authority,2020-04-11,37,689
York,E06000014,Upper tier local authority,2020-04-11,3,129
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-12,15,339
Barnet,E09000003,Upper tier local authority,2020-04-12,17,990
Barnsley,E08000016,Upper tier local authority,2020-04-12,21,381
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-12,2,137
Bedford,E06000055,Upper tier local authority,2020-04-12,10,248
Bexley,E09000004,Upper tier local authority,2020-04-12,6,441
Birmingham,E08000025,Upper tier local authority,2020-04-12,50,1949
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-12,12,177
Blackpool,E06000009,Upper tier local authority,2020-04-12,11,174
Bolton,E08000001,Upper tier local authority,2020-04-12,20,427
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-12,21,254
Bracknell Forest,E06000036,Upper tier local authority,2020-04-12,7,127
Bradford,E08000032,Upper tier local authority,2020-04-12,22,452
Brent,E09000005,Upper tier local authority,2020-04-12,26,1067
Brighton and Hove,E06000043,Upper tier local authority,2020-04-12,11,240
"Bristol, City of",E06000023,Upper tier local authority,2020-04-12,14,364
Bromley,E09000006,Upper tier local authority,2020-04-12,11,790
Buckinghamshire,E10000002,Upper tier local authority,2020-04-12,7,525
Bury,E08000002,Upper tier local authority,2020-04-12,9,258
Calderdale,E08000033,Upper tier local authority,2020-04-12,8,150
Cambridgeshire,E10000003,Upper tier local authority,2020-04-12,13,435
Camden,E09000007,Upper tier local authority,2020-04-12,8,448
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-12,17,321
Cheshire East,E06000049,Upper tier local authority,2020-04-12,19,453
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-12,27,466
City of London,E09000001,Upper tier local authority,2020-04-12,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-12,20,320
County Durham,E06000047,Upper tier local authority,2020-04-12,26,719
Coventry,E08000026,Upper tier local authority,2020-04-12,21,438
Croydon,E09000008,Upper tier local authority,2020-04-12,26,1038
Cumbria,E10000006,Upper tier local authority,2020-04-12,34,1293
Darlington,E06000005,Upper tier local authority,2020-04-12,15,149
Derby,E06000015,Upper tier local authority,2020-04-12,9,373
Derbyshire,E10000007,Upper tier local authority,2020-04-12,21,780
Devon,E10000008,Upper tier local authority,2020-04-12,31,419
Doncaster,E08000017,Upper tier local authority,2020-04-12,8,246
Dorset,E06000059,Upper tier local authority,2020-04-12,5,210
Dudley,E08000027,Upper tier local authority,2020-04-12,12,475
Ealing,E09000009,Upper tier local authority,2020-04-12,20,789
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-12,16,241
East Sussex,E10000011,Upper tier local authority,2020-04-12,12,361
Enfield,E09000010,Upper tier local authority,2020-04-12,22,595
Essex,E10000012,Upper tier local authority,2020-04-12,47,1646
Gateshead,E08000037,Upper tier local authority,2020-04-12,21,473
Gloucestershire,E10000013,Upper tier local authority,2020-04-12,38,732
Greenwich,E09000011,Upper tier local authority,2020-04-12,13,492
Hackney,E09000012,Upper tier local authority,2020-04-12,10,514
Halton,E06000006,Upper tier local authority,2020-04-12,4,215
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-12,7,398
Hampshire,E10000014,Upper tier local authority,2020-04-12,71,1754
Haringey,E09000014,Upper tier local authority,2020-04-12,12,443
Harrow,E09000015,Upper tier local authority,2020-04-12,13,689
Hartlepool,E06000001,Upper tier local authority,2020-04-12,2,75
Havering,E09000016,Upper tier local authority,2020-04-12,19,482
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-12,9,117
Hertfordshire,E10000015,Upper tier local authority,2020-04-12,51,1597
Hillingdon,E09000017,Upper tier local authority,2020-04-12,11,540
Hounslow,E09000018,Upper tier local authority,2020-04-12,10,503
Isle of Wight,E06000046,Upper tier local authority,2020-04-12,2,55
Islington,E09000019,Upper tier local authority,2020-04-12,7,337
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-12,3,376
Kent,E10000016,Upper tier local authority,2020-04-12,117,1840
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-12,10,147
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-12,9,310
Kirklees,E08000034,Upper tier local authority,2020-04-12,6,343
Knowsley,E08000011,Upper tier local authority,2020-04-12,8,325
Lambeth,E09000022,Upper tier local authority,2020-04-12,16,945
Lancashire,E10000017,Upper tier local authority,2020-04-12,61,1687
Leeds,E08000035,Upper tier local authority,2020-04-12,38,709
Leicester,E06000016,Upper tier local authority,2020-04-12,22,410
Leicestershire,E10000018,Upper tier local authority,2020-04-12,12,558
Lewisham,E09000023,Upper tier local authority,2020-04-12,12,710
Lincolnshire,E10000019,Upper tier local authority,2020-04-12,24,496
Liverpool,E08000012,Upper tier local authority,2020-04-12,35,969
Luton,E06000032,Upper tier local authority,2020-04-12,23,420
Manchester,E08000003,Upper tier local authority,2020-04-12,31,717
Medway,E06000035,Upper tier local authority,2020-04-12,13,411
Merton,E09000024,Upper tier local authority,2020-04-12,9,517
Middlesbrough,E06000002,Upper tier local authority,2020-04-12,14,301
Milton Keynes,E06000042,Upper tier local authority,2020-04-12,6,318
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-12,17,607
Newham,E09000025,Upper tier local authority,2020-04-12,14,784
Norfolk,E10000020,Upper tier local authority,2020-04-12,40,734
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-12,2,80
North Lincolnshire,E06000013,Upper tier local authority,2020-04-12,8,129
North Somerset,E06000024,Upper tier local authority,2020-04-12,1,125
North Tyneside,E08000022,Upper tier local authority,2020-04-12,7,321
North Yorkshire,E10000023,Upper tier local authority,2020-04-12,27,508
Northamptonshire,E10000021,Upper tier local authority,2020-04-12,19,761
Northumberland,E06000057,Upper tier local authority,2020-04-12,37,458
Nottingham,E06000018,Upper tier local authority,2020-04-12,11,318
Nottinghamshire,E10000024,Upper tier local authority,2020-04-12,28,714
Oldham,E08000004,Upper tier local authority,2020-04-12,15,369
Oxfordshire,E10000025,Upper tier local authority,2020-04-12,39,984
Peterborough,E06000031,Upper tier local authority,2020-04-12,2,108
Plymouth,E06000026,Upper tier local authority,2020-04-12,7,149
Portsmouth,E06000044,Upper tier local authority,2020-04-12,7,190
Reading,E06000038,Upper tier local authority,2020-04-12,25,226
Redbridge,E09000026,Upper tier local authority,2020-04-12,24,535
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-12,8,181
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-12,8,294
Rochdale,E08000005,Upper tier local authority,2020-04-12,1,272
Rotherham,E08000018,Upper tier local authority,2020-04-12,24,384
Rutland,E06000017,Upper tier local authority,2020-04-12,1,11
Salford,E08000006,Upper tier local authority,2020-04-12,11,373
Sandwell,E08000028,Upper tier local authority,2020-04-12,18,596
Sefton,E08000014,Upper tier local authority,2020-04-12,21,521
Sheffield,E08000019,Upper tier local authority,2020-04-12,34,1392
Shropshire,E06000051,Upper tier local authority,2020-04-12,16,262
Slough,E06000039,Upper tier local authority,2020-04-12,9,251
Solihull,E08000029,Upper tier local authority,2020-04-12,7,367
Somerset,E10000027,Upper tier local authority,2020-04-12,11,234
South Gloucestershire,E06000025,Upper tier local authority,2020-04-12,4,222
South Tyneside,E08000023,Upper tier local authority,2020-04-12,9,238
Southampton,E06000045,Upper tier local authority,2020-04-12,10,275
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-12,7,228
Southwark,E09000028,Upper tier local authority,2020-04-12,11,986
St. Helens,E08000013,Upper tier local authority,2020-04-12,14,400
Staffordshire,E10000028,Upper tier local authority,2020-04-12,35,990
Stockport,E08000007,Upper tier local authority,2020-04-12,14,509
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-12,7,208
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-12,10,210
Suffolk,E10000029,Upper tier local authority,2020-04-12,23,520
Sunderland,E08000024,Upper tier local authority,2020-04-12,29,705
Surrey,E10000030,Upper tier local authority,2020-04-12,54,1666
Sutton,E09000029,Upper tier local authority,2020-04-12,5,455
Swindon,E06000030,Upper tier local authority,2020-04-12,10,196
Tameside,E08000008,Upper tier local authority,2020-04-12,18,303
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-12,3,136
Thurrock,E06000034,Upper tier local authority,2020-04-12,5,204
Torbay,E06000027,Upper tier local authority,2020-04-12,2,101
Tower Hamlets,E09000030,Upper tier local authority,2020-04-12,14,505
Trafford,E08000009,Upper tier local authority,2020-04-12,10,395
Wakefield,E08000036,Upper tier local authority,2020-04-12,18,335
Walsall,E08000030,Upper tier local authority,2020-04-12,13,587
Waltham Forest,E09000031,Upper tier local authority,2020-04-12,18,561
Wandsworth,E09000032,Upper tier local authority,2020-04-12,6,760
Warrington,E06000007,Upper tier local authority,2020-04-12,8,357
Warwickshire,E10000031,Upper tier local authority,2020-04-12,22,718
West Berkshire,E06000037,Upper tier local authority,2020-04-12,7,173
West Sussex,E10000032,Upper tier local authority,2020-04-12,29,690
Westminster,E09000033,Upper tier local authority,2020-04-12,8,507
Wigan,E08000010,Upper tier local authority,2020-04-12,9,334
Wiltshire,E06000054,Upper tier local authority,2020-04-12,11,263
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-12,6,163
Wirral,E08000015,Upper tier local authority,2020-04-12,27,614
Wokingham,E06000041,Upper tier local authority,2020-04-12,11,190
Wolverhampton,E08000031,Upper tier local authority,2020-04-12,9,469
Worcestershire,E10000034,Upper tier local authority,2020-04-12,22,711
York,E06000014,Upper tier local authority,2020-04-12,5,134
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-13,17,356
Barnet,E09000003,Upper tier local authority,2020-04-13,21,1011
Barnsley,E08000016,Upper tier local authority,2020-04-13,32,413
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-13,6,143
Bedford,E06000055,Upper tier local authority,2020-04-13,16,264
Bexley,E09000004,Upper tier local authority,2020-04-13,10,451
Birmingham,E08000025,Upper tier local authority,2020-04-13,45,1994
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-13,11,188
Blackpool,E06000009,Upper tier local authority,2020-04-13,15,189
Bolton,E08000001,Upper tier local authority,2020-04-13,32,459
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-13,14,268
Bracknell Forest,E06000036,Upper tier local authority,2020-04-13,15,142
Bradford,E08000032,Upper tier local authority,2020-04-13,13,465
Brent,E09000005,Upper tier local authority,2020-04-13,26,1093
Brighton and Hove,E06000043,Upper tier local authority,2020-04-13,9,249
"Bristol, City of",E06000023,Upper tier local authority,2020-04-13,16,380
Bromley,E09000006,Upper tier local authority,2020-04-13,31,821
Buckinghamshire,E10000002,Upper tier local authority,2020-04-13,21,546
Bury,E08000002,Upper tier local authority,2020-04-13,5,263
Calderdale,E08000033,Upper tier local authority,2020-04-13,6,156
Cambridgeshire,E10000003,Upper tier local authority,2020-04-13,13,448
Camden,E09000007,Upper tier local authority,2020-04-13,13,461
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-13,9,330
Cheshire East,E06000049,Upper tier local authority,2020-04-13,31,484
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-13,15,481
City of London,E09000001,Upper tier local authority,2020-04-13,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-13,21,341
County Durham,E06000047,Upper tier local authority,2020-04-13,46,765
Coventry,E08000026,Upper tier local authority,2020-04-13,18,456
Croydon,E09000008,Upper tier local authority,2020-04-13,26,1064
